,AR,BM,BJ,BS,BR,BS,BW,BS,BP,BD,CR,CD,DI,DB,EE,ER,FK,GS,GM,HA,HK,HB,HS,HR,JE,KR,KA,LR,LK,ME,MG,MJ,NP,OI,PH,PS,RL,SR,SF,TO,TM,VB,VF,WS,WD,WL
DI,0,3,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,2,2,2,1,0,1,0,1,1,2,1,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0
DB,0,4,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,1,0
EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FK,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,3,1,1,0,4,0,2,3,0,3,3,0,0,0,0,0,0,2,0,1,2,0,0,0,0,3,3,0
GS,1,4,0,0,2,0,2,2,1,1,2,0,5,0,1,1,0,0,0,4,0,2,0,0,4,2,3,2,2,0,3,0,3,3,1,0,2,2,0,2,0,0,0,0,0,0
GM,0,3,0,0,5,5,3,0,0,0,2,0,3,2,0,0,3,0,0,2,2,0,0,0,3,5,2,3,2,0,0,0,0,0,0,5,0,3,5,0,0,0,0,5,5,0
HA,2,3,0,2,2,2,3,4,1,2,4,2,5,4,0,0,1,4,3,0,1,2,3,0,3,2,4,4,4,0,3,0,0,3,2,2,0,4,0,0,2,0,2,3,5,0
HK,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,0,2,0,2,3,2,3,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,4,0
HB,1,2,1,2,1,1,1,3,1,1,2,5,1,1,5,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,2,2,5,2,1,1,1,4,1,5,1,1,1,1,2,2
HS,2,1,0,0,3,3,1,0,0,3,2,0,1,1,0,0,4,0,3,3,1,0,0,0,2,4,1,3,4,0,1,0,0,1,1,5,0,2,4,0,0,0,0,4,2,0
HR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JE,0,2,0,0,2,5,1,0,0,0,1,0,1,0,0,0,1,2,4,3,0,0,3,0,0,4,2,3,1,0,0,0,0,0,1,3,0,0,3,0,0,0,0,2,3,0
KR,1,1,0,0,5,5,1,0,1,0,2,0,1,0,0,0,4,1,5,2,2,0,5,0,5,0,2,4,2,0,1,0,0,1,1,5,0,2,5,0,0,0,0,5,5,0
KA,0,4,0,0,2,2,2,0,0,0,1,0,5,3,0,0,1,3,2,4,1,0,1,0,3,2,0,2,4,0,0,0,0,1,5,1,0,1,1,0,0,0,0,1,3,0
LR,0,3,0,0,2,5,2,0,0,2,2,0,2,0,0,0,4,3,3,3,2,0,4,0,2,3,2,0,3,0,0,0,0,0,0,3,0,2,2,0,0,0,0,4,3,0
LK,0,4,0,1,3,1,4,1,0,0,1,0,3,1,0,0,1,1,1,4,2,0,4,0,1,1,3,3,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,1,0
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,2,2,1,3,0,0,0,5,1,2,0,2,0,0,0,2,0,3,0,3,0,2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,1,3,0,3,2,0,1,0,2,0
MJ,2,0,2,5,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1,0,0,5,1,0,0,0,0,1
NP,2,2,0,5,0,0,0,5,2,2,1,5,0,1,3,3,0,3,0,1,0,5,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,2,0,5,0,0,2,0,0,0
OI,1,2,0,0,1,1,1,2,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,3,1,4,0,1,0,2,2,0,1,0,5,1,0,0,0
PH,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PS,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,3,1,4,1,1,0,5,0,4,5,0,4,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,5,0
RL,2,1,0,0,0,0,0,2,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0
SR,0,5,0,2,0,2,4,2,0,0,3,0,2,4,0,0,0,1,2,3,0,5,3,0,0,2,0,1,3,0,3,0,3,2,5,0,0,0,0,0,4,0,0,1,2,0
SF,0,0,0,0,3,5,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,4,0,2,4,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,5,0
TO,1,1,0,5,0,0,0,3,1,0,0,1,0,0,3,2,0,1,0,1,0,3,0,0,0,0,0,0,0,0,2,5,5,2,0,0,2,0,0,0,0,0,1,0,0,0
TM,2,2,0,0,0,0,0,3,0,3,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0
VB,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,1,0,0,0,1,0,1,0,1,0
VF,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
WS,1,1,0,0,3,5,1,1,0,0,1,0,1,0,0,0,3,0,5,2,2,0,3,0,2,4,0,2,0,0,0,0,1,1,1,4,0,1,4,0,0,1,1,0,3,0
WD,1,2,0,1,5,5,2,1,1,1,3,2,1,2,0,0,4,2,4,4,3,1,3,0,4,5,2,3,3,0,3,0,1,1,1,5,0,2,0,0,0,1,0,4,0,0
WL,3,0,4,0,0,0,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0
